LIC-MS320-48FP-7YR,Switches,"Meraki MS320-48FP Enterprise License and Support, 7 Year",1890.00
LIC-MS320-48FP-10Y,Switches,"Meraki MS320-48FP Enterprise License and Support, 10 Year",2360.00
LIC-MS350-24-1YR,Switches,"Meraki MS350-24 Enterprise License and Support, 1 Year",330.00
LIC-MS350-24-3YR,Switches,"Meraki MS350-24 Enterprise License and Support, 3 Year",670.00
LIC-MS350-24-5YR,Switches,"Meraki MS350-24 Enterprise License and Support, 5 Year",1000.00
LIC-MS350-24-7YR,Switches,"Meraki MS350-24 Enterprise License and Support, 7 Year",1335.00
LIC-MS350-24-10YR,Switches,"Meraki MS350-24 Enterprise License and Support, 10 Year",1670.00
LIC-MS350-24P-1YR,Switches,"Meraki MS350-24P Enterprise License and Support, 1 Year",380.00
LIC-MS350-24P-3YR,Switches,"Meraki MS350-24P Enterprise License and Support, 3 Year",760.00
LIC-MS350-24P-5YR,Switches,"Meraki MS350-24P Enterprise License and Support, 5 Year",1140.00
LIC-MS350-24P-7YR,Switches,"Meraki MS350-24P Enterprise License and Support, 7 Year",1520.00
LIC-MS350-24P-10YR,Switches,"Meraki MS350-24P Enterprise License and Support, 10 Year",1900.00
LIC-MS350-48-1YR,Switches,"Meraki MS350-48 Enterprise License and Support, 1 Year",540.00
LIC-MS350-48-3YR,Switches,"Meraki MS350-48 Enterprise License and Support, 3 Year",1080.00
LIC-MS350-48-5YR,Switches,"Meraki MS350-48 Enterprise License and Support, 5 Year",1620.00
LIC-MS350-48-7YR,Switches,"Meraki MS350-48 Enterprise License and Support, 7 Year",2160.00
LIC-MS350-48-10YR,Switches,"Meraki MS350-48 Enterprise License and Support, 10 Year",2700.00
LIC-MS350-48LP-1YR,Switches,"Meraki MS350-48LP Enterprise License and Support, 1 Year",630.00
LIC-MS350-48LP-3YR,Switches,"Meraki MS350-48LP Enterprise License and Support, 3 Year",1255.00
LIC-MS350-48LP-5YR,Switches,"Meraki MS350-48LP Enterprise License and Support, 5 Year",1880.00
LIC-MS350-48LP-7YR,Switches,"Meraki MS350-48LP Enterprise License and Support, 7 Year",2510.00
LIC-MS350-48LP-10Y,Switches,"Meraki MS350-48LP Enterprise License and Support, 10 Year",3135.00
LIC-MS350-48FP-1YR,Switches,"Meraki MS350-48FP Enterprise License and Support, 1 Year",685.00
LIC-MS350-48FP-3YR,Switches,"Meraki MS350-48FP Enterprise License and Support, 3 Year",1370.00
LIC-MS350-48FP-5YR,Switches,"Meraki MS350-48FP Enterprise License and Support, 5 Year",2055.00
LIC-MS350-48FP-7YR,Switches,"Meraki MS350-48FP Enterprise License and Support, 7 Year",2740.00
LIC-MS350-48FP-10Y,Switches,"Meraki MS350-48FP Enterprise License and Support, 10 Year",3420.00
LIC-MS410-16-1YR,Switches,"Meraki MS410-16 Enterprise License and Support, 1 Year",500.00
LIC-MS410-16-3YR,Switches,"Meraki MS410-16 Enterprise License and Support, 3 Years",1000.00
LIC-MS410-16-5YR,Switches,"Meraki MS410-16 Enterprise License and Support, 5 Years",1500.00
LIC-MS410-16-7YR,Switches,"Meraki MS410-16 Enterprise License and Support, 7 Years",2000.00
LIC-MS410-16-10YR,Switches,"Meraki MS410-16 Enterprise License and Support, 10 Years",3000.00
LIC-MS410-32-1YR,Switches,"Meraki MS410-32 Enterprise License and Support, 1 Year",880.00
LIC-MS410-32-3YR,Switches,"Meraki MS410-32 Enterprise License and Support, 3 Years",1765.00
LIC-MS410-32-5YR,Switches,"Meraki MS410-32 Enterprise License and Support, 5 Years",2645.00
LIC-MS410-32-7YR,Switches,"Meraki MS410-32 Enterprise License and Support, 7 Years",3530.00
LIC-MS410-32-10YR,Switches,"Meraki MS410-32 Enterprise License and Support, 10 Years",5290.00
LIC-MS420-24-1YR,Switches,"Meraki MS420-24 Enterprise License and Support, 1 Year",1200.00
LIC-MS420-24-3YR,Switches,"Meraki MS420-24 Enterprise License and Support, 3 Year",2400.00
LIC-MS420-24-5YR,Switches,"Meraki MS420-24 Enterprise License and Support, 5 Year",3600.00
LIC-MS420-24-7YR,Switches,"Meraki MS420-24 Enterprise License and Support, 7 Year",4800.00
LIC-MS420-24-10YR,Switches,"Meraki MS420-24 Enterprise License and Support, 10 Year",6000.00
LIC-MS420-48-1YR,Switches,"Meraki MS420-48 Enterprise License and Support, 1 Year",2200.00
LIC-MS420-48-3YR,Switches,"Meraki MS420-48 Enterprise License and Support, 3 Year",4400.00
LIC-MS420-48-5YR,Switches,"Meraki MS420-48 Enterprise License and Support, 5 Year",6600.00
LIC-MS420-48-7YR,Switches,"Meraki MS420-48 Enterprise License and Support, 7 Year",8800.00
LIC-MS420-48-10YR,Switches,"Meraki MS420-48 Enterprise License and Support, 10 Year",11000.00
LIC-SME-1YR,SME,"Cisco Meraki Systems Manager Enterprise Device License, 1 Year",40.00
LIC-SME-3YR,SME,"Cisco Meraki Systems Manager Enterprise Device License, 3 Year",80.00
LIC-SME-5YR,SME,"Cisco Meraki Systems Manager Enterprise Device License, 5 Year",120.00
Z1-HW-US,UTM,Meraki Z1 Cloud Managed Teleworker Gateway (US Plug),395.00
Z1-HW-EU,UTM,Meraki Z1 Cloud Managed Teleworker Gateway (EU Plug),395.00
Z1-HW-UK,UTM,Meraki Z1 Cloud Managed Teleworker Gateway (UK Plug),395.00
Z1-HW-AU,UTM,Meraki Z1 Cloud Managed Teleworker Gateway (AU Plug),395.00
LIC-Z1-ENT-1YR,UTM,"Meraki Z1 Enterprise License and Support, 1 Year",50.00
LIC-Z1-ENT-3YR,UTM,"Meraki Z1 Enterprise License and Support, 3 Years",100.00
LIC-Z1-ENT-5YR,UTM,"Meraki Z1 Enterprise License and Support, 5 Years",150.00
LIC-Z1-ENT-7YR,UTM,"Meraki Z1 Enterprise License and Support, 7 Years",210.00
LIC-Z1-ENT-10YR,UTM,"Meraki Z1 Enterprise License and Support, 10 Years",300.00
MX64-HW,UTM,Meraki MX64 Cloud Managed Security Appliance,595.00
MX64W-HW,UTM,Meraki MX64W Cloud Managed Security Appliance with 802.11ac,945.00
MX65-HW,UTM,Meraki MX65 Cloud Managed Security Appliance,945.00
MX65W-HW,UTM,Meraki MX65W Cloud Managed Security Appliance with 802.11ac,1245.00
MX80-HW,UTM,Meraki MX80 Cloud Managed Security Appliance,1995.00
MX84-HW,UTM,Meraki MX84 Cloud Managed Security Appliance,1995.00
MX100-HW,UTM,Meraki MX100 Cloud Managed Security Appliance,4995.00
MX400-HW,UTM,Meraki MX400 Cloud Managed Security Appliance,15995.00
MX600-HW,UTM,Meraki MX600 Cloud Managed Security Appliance,31995.00
LIC-MX50-ENT-1YR,UTM,"EOS Meraki MX50 Enterprise License, 1 Year",500.00
LIC-MX50-ENT-3YR,UTM,"EOS Meraki MX50 Enterprise License, 3 Years",1000.00
LIC-MX50-ENT-5YR,UTM,"EOS Meraki MX50 Enterprise License, 5 Years",1500.00
LIC-MX50-SEC-1YR,UTM,"EOS Meraki MX50 Advanced Security License, 1 Year",1000.00
LIC-MX50-SEC-3YR,UTM,"EOS Meraki MX50 Advanced Security License, 3 Years",2000.00
LIC-MX50-SEC-5YR,UTM,"EOS Meraki MX50 Advanced Security License, 5 Years",3000.00
LIC-MX60-ENT-1YR,UTM,"EOS Meraki MX60 Enterprise License and Support, 1 Year",250.00
LIC-MX60-ENT-3YR,UTM,"EOS Meraki MX60 Enterprise License and Support, 3 Years",500.00
LIC-MX60-ENT-5YR,UTM,"EOS Meraki MX60 Enterprise License and Support, 5 Years",750.00
LIC-MX60-ENT-7YR,UTM,"EOS Meraki MX60 Enterprise License and Support, 7 Years",1050.00
LIC-MX60-ENT-10YR,UTM,"EOS Meraki MX60 Enterprise License and Support, 10 Years",1500.00
LIC-MX60-SEC-1YR,UTM,"EOS Meraki MX60 Advanced Security License and Support, 1 Year",500.00
LIC-MX60-SEC-3YR,UTM,"EOS Meraki MX60 Advanced Security License and Support, 3 Years",1000.00
LIC-MX60-SEC-5YR,UTM,"EOS Meraki MX60 Advanced Security License and Support, 5 Years",1500.00
LIC-MX60-SEC-7YR,UTM,"EOS Meraki MX60 Advanced Security License and Support, 7 Years",2100.00
LIC-MX60-SEC-10YR,UTM,"EOS Meraki MX60 Advanced Security License and Support, 10 Years",3000.00
LIC-MX60W-ENT-1YR,UTM,"EOS Meraki MX60W Enterprise License and Support, 1 Year",275.00
LIC-MX60W-ENT-3YR,UTM,"EOS Meraki MX60W Enterprise License and Support, 3 Years",550.00
LIC-MX60W-ENT-5YR,UTM,"EOS Meraki MX60W Enterprise License and Support, 5 Years",825.00
LIC-MX60W-ENT-7YR,UTM,"EOS Meraki MX60W Enterprise License and Support, 7 Years",1155.00
LIC-MX60W-ENT-10YR,UTM,"EOS Meraki MX60W Enterprise License and Support, 10 Years",1650.00
LIC-MX60W-SEC-1YR,UTM,"EOS Meraki MX60W Advanced Security License and Support, 1 Year",550.00
LIC-MX60W-SEC-3YR,UTM,"EOS Meraki MX60W Advanced Security License and Support, 3 Years",1100.00
LIC-MX60W-SEC-5YR,UTM,"EOS Meraki MX60W Advanced Security License and Support, 5 Years",1650.00
LIC-MX60W-SEC-7YR,UTM,"EOS Meraki MX60W Advanced Security License and Support, 7 Years",2310.00
LIC-MX60W-SEC-10YR,UTM,"EOS Meraki MX60W Advanced Security License and Support, 10 Years",3300.00
LIC-MX64-ENT-1YR,UTM,"Meraki MX64 Enterprise License and Support, 1 Year",300.00
LIC-MX64-ENT-3YR,UTM,"Meraki MX64 Enterprise License and Support, 3 Years",600.00
